geoName;code_map;arts;Automobile;Affaires;Carrieres;Education;famille;sante;alimentation;Loisirs;jardin;politique;Actualites;Finances;Societe;Science;Animaux;Sports;mode;technologie;voyage;Immobilier;shopping;;;;;;;;;;;;;;;;;;;;;;
Pas-de-Calais;fr-hdf-pc;0;28;0;33;0;52;0;3;0;79;0;88;0;65;0;62;0;81;0;5;0;53;0;43;0;37;0;45;0;48;0;64;0;57;0;95;0;57;0;36;0;25;0;81
Puy-de-Dôme;fr-ara-pd;0;37;0;38;0;61;0;2;0;82;0;8;0;85;0;66;0;87;0;5;0;85;0;68;0;56;0;44;0;7;0;68;0;79;0;98;0;55;0;35;0;34;0;36
Pyrénées-Atlantiques;fr-naq-pa;0;32;0;27;0;55;0;2;0;68;0;76;0;67;0;64;0;69;0;44;0;7;0;81;0;38;0;58;0;65;0;65;0;72;0;88;0;52;0;34;0;33;0;44
Pyrénées-Orientales;fr-occ-po;0;28;0;27;0;54;0;2;0;69;0;85;0;69;0;66;0;72;0;51;0;67;0;56;0;45;0;52;0;62;0;64;0;65;0;87;0;6;0;32;0;38;0;48
Rhône;fr-ara-rh;0;46;0;3;0;73;0;3;0;78;0;81;0;74;0;62;0;49;0;41;0;84;0;61;0;48;0;51;0;88;0;49;0;6;0;9;0;75;0;41;0;31;0;42
Sarthe;fr-pdl-st;0;31;0;45;0;57;0;3;0;78;0;92;1;0;57;0;84;0;51;0;61;0;7;0;41;0;41;0;58;0;67;0;55;0;92;0;67;0;39;0;26;0;3;
Savoie;fr-ara-sv;0;35;0;3;0;63;0;3;0;74;0;8;0;64;0;61;0;63;0;45;0;62;0;65;0;4;0;43;0;7;0;57;1;0;9;0;62;0;38;0;36;0;43;
Saône-et-Loire;fr-bfc-sl;0;41;0;33;0;73;0;2;0;75;0;81;0;68;0;64;0;78;0;46;0;57;0;5;0;37;0;49;0;52;0;67;0;51;0;9;0;47;0;35;0;33;0;31
Seine-Maritime;fr-nor-sm;0;69;0;33;0;57;0;3;1;0;81;0;6;0;63;0;84;0;51;0;69;0;55;0;41;0;76;0;62;0;63;0;5;0;91;0;66;0;41;0;3;0;36;
Seine-Saint-Denis;fr-idf-ss;0;41;0;27;0;75;0;5;0;91;0;85;0;75;0;54;0;56;0;33;0;89;0;47;0;66;0;79;0;84;0;43;0;74;0;87;0;82;0;44;0;25;0;51
Seine-et-Marne;fr-idf-se;0;33;0;33;0;62;0;3;0;89;0;91;0;67;0;64;0;81;0;49;0;73;0;48;0;45;0;73;0;67;0;59;0;63;0;88;0;76;0;42;0;3;0;64
Somme;fr-hdf-so;0;31;0;31;0;59;0;2;0;85;0;87;0;62;0;63;0;76;0;45;0;69;0;45;0;47;0;51;0;65;0;65;0;53;0;92;0;62;0;32;0;27;1;
Tarn;fr-occ-ta;0;33;0;34;0;61;0;2;0;77;0;83;0;69;0;67;0;88;0;55;0;68;0;79;0;39;0;47;0;63;0;62;0;56;0;97;0;65;0;32;0;36;0;32
Tarn-et-Garonne;fr-occ-tg;0;29;0;36;0;61;0;0;69;0;8;0;65;0;67;0;96;0;51;0;58;0;64;0;37;0;5;0;6;0;66;0;51;0;94;0;58;0;33;0;32;0;33;
Territoire de Belfort;fr-bfc-tb;0;31;0;43;0;66;0;0;88;0;8;0;69;0;63;0;64;0;41;0;74;0;47;0;32;0;29;0;59;0;61;0;45;0;95;0;72;0;35;0;31;0;41;
Val-d'Oise;fr-idf-vo;0;36;0;31;0;64;0;12;0;92;0;99;0;65;0;63;0;74;0;42;0;75;0;49;0;46;0;82;0;78;0;51;0;68;0;91;0;75;0;45;0;31;0;47
Val-de-Marne;fr-idf-vm;0;51;0;27;0;88;0;6;0;91;0;88;0;79;0;62;0;61;0;39;0;97;0;7;1;0;77;0;91;0;47;0;66;0;92;0;8;0;44;0;31;0;52;
